2025/07/28 09:17:23 🚀 启动分布式缓存节点: node1
2025/07/28 09:17:23 📡 监听地址: :8001
2025/07/28 09:17:23 🌐 集群节点: map[node1:localhost:8001 node2:localhost:8002 node3:localhost:8003]
2025/07/28 09:17:23 🌐 启动集群管理器，节点ID: node1
2025/07/28 09:17:23 🚀 启动分布式缓存节点: node1
2025/07/28 09:17:23 📡 监听地址: localhost:8001
2025/07/28 09:17:23 🌐 集群节点数: 3
2025/07/28 09:17:25 ⚠️ 通知节点加入失败 localhost:8002: Post "http://localhost:8002/internal/cluster/join": dial tcp 127.0.0.1:8002: connect: connection refused
2025/07/28 09:17:25 ⚠️ 通知节点加入失败 localhost:8003: Post "http://localhost:8003/internal/cluster/join": dial tcp 127.0.0.1:8003: connect: connection refused
2025/07/28 09:17:28 🔄 开始添加节点到集群: node2 (localhost:8002)
2025/07/28 09:17:28 ➕ 添加节点到集群: node2 (localhost:8002)
2025/07/28 09:17:28 🔄 开始网络数据迁移到节点: node2 (localhost:8002)
2025/07/28 09:17:28 ✅ 网络数据迁移完成: 迁移了 0 个key到节点 node2
2025/07/28 09:17:28 ⚠️ 跳过不健康的节点: node2
2025/07/28 09:17:28 ⚠️ 跳过不健康的节点: node3
2025/07/28 09:17:28 ✅ 节点添加完成: node2
[GIN] 2025/07/28 - 09:17:28 | 200 |     423.214µs |       127.0.0.1 | POST     "/internal/cluster/join"
2025/07/28 09:17:31 🔄 开始添加节点到集群: node3 (localhost:8003)
2025/07/28 09:17:31 ➕ 添加节点到集群: node3 (localhost:8003)
2025/07/28 09:17:31 🔄 开始网络数据迁移到节点: node3 (localhost:8003)
2025/07/28 09:17:31 ✅ 网络数据迁移完成: 迁移了 0 个key到节点 node3
2025/07/28 09:17:31 ⚠️ 跳过不健康的节点: node2
2025/07/28 09:17:31 ⚠️ 跳过不健康的节点: node3
2025/07/28 09:17:31 ✅ 节点添加完成: node3
[GIN] 2025/07/28 - 09:17:31 | 200 |     635.127µs |       127.0.0.1 | POST     "/internal/cluster/join"
[GIN] 2025/07/28 - 09:17:34 | 200 |      26.165µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:36 | 200 |       22.01µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/28 - 09:17:36 | 200 |      25.133µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:39 | 200 |      45.815µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/28 - 09:17:41 | 200 |      24.723µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:41 | 200 |      69.786µs |       127.0.0.1 | GET      "/admin/cluster"
[GIN] 2025/07/28 - 09:17:41 | 200 |      51.356µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      29.514µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |     233.858µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |       27.13µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:6"
[GIN] 2025/07/28 - 09:17:41 | 200 |     179.778µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:9"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.991µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:10"
[GIN] 2025/07/28 - 09:17:41 | 200 |         6.8µs |       127.0.0.1 | GET      "/internal/cache/lb:test:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.748µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |     147.446µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:5"
[GIN] 2025/07/28 - 09:17:41 | 200 |      13.476µs |       127.0.0.1 | GET      "/internal/cache/lb:test:6"
[GIN] 2025/07/28 - 09:17:41 | 200 |     203.993µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:8"
[GIN] 2025/07/28 - 09:17:41 | 200 |       3.717µs |       127.0.0.1 | GET      "/internal/cache/lb:test:10"
[GIN] 2025/07/28 - 09:17:41 | 200 |       5.104µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |       2.893µs |       127.0.0.1 | DELETE   "/internal/cache/lb:test:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |      72.803µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:4"
[GIN] 2025/07/28 - 09:17:41 | 200 |        2.67µs |       127.0.0.1 | DELETE   "/internal/cache/lb:test:6"
[GIN] 2025/07/28 - 09:17:41 | 200 |     185.913µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:7"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.965µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:10"
[GIN] 2025/07/28 - 09:17:41 | 200 |      15.473µs |       127.0.0.1 | PUT      "/internal/cache/product:2001"
[GIN] 2025/07/28 - 09:17:41 | 200 |     142.568µs |       127.0.0.1 | PUT      "/api/v1/cache/order:3001"
[GIN] 2025/07/28 - 09:17:41 | 200 |     158.333µs |       127.0.0.1 | PUT      "/api/v1/cache/user:1001"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.78µs |       127.0.0.1 | PUT      "/internal/cache/user:1003"
[GIN] 2025/07/28 - 09:17:41 | 200 |     145.205µs |       127.0.0.1 | GET      "/api/v1/cache/session:abc"
[GIN] 2025/07/28 - 09:17:41 | 200 |       4.406µs |       127.0.0.1 | GET      "/api/v1/cache/user:1003"
[GIN] 2025/07/28 - 09:17:41 | 200 |       14.51µs |       127.0.0.1 | GET      "/internal/cache/product:2001"
[GIN] 2025/07/28 - 09:17:41 | 200 |      98.403µs |       127.0.0.1 | GET      "/api/v1/cache/order:3001"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.991µs |       127.0.0.1 | PUT      "/api/v1/cache/batch:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |       8.275µs |       127.0.0.1 | GET      "/api/v1/cache/batch:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |       6.888µs |       127.0.0.1 | DELETE   "/api/v1/cache/product:2001"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.382µs |       127.0.0.1 | GET      "/api/v1/cache/product:2001"
[GIN] 2025/07/28 - 09:17:41 | 200 |       6.474µs |       127.0.0.1 | PUT      "/api/v1/cache/failover:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |      11.255µs |       127.0.0.1 | GET      "/api/v1/cache/failover:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.651µs |       127.0.0.1 | DELETE   "/api/v1/cache/failover:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |      153.44µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:0"
[GIN] 2025/07/28 - 09:17:41 | 200 |     201.743µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.411µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:4"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.967µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:6"
[GIN] 2025/07/28 - 09:17:41 | 200 |     172.875µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:9"
[GIN] 2025/07/28 - 09:17:41 | 200 |       17.03µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:11"
[GIN] 2025/07/28 - 09:17:41 | 200 |     234.424µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:12"
[GIN] 2025/07/28 - 09:17:41 | 200 |     201.893µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:15"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.853µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:16"
[GIN] 2025/07/28 - 09:17:41 | 200 |      18.196µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:17"
[GIN] 2025/07/28 - 09:17:41 | 200 |      20.308µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:18"
[GIN] 2025/07/28 - 09:17:41 | 200 |      28.667µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:19"
[GIN] 2025/07/28 - 09:17:41 | 200 |     229.813µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:21"
[GIN] 2025/07/28 - 09:17:41 | 200 |      23.816µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:23"
[GIN] 2025/07/28 - 09:17:41 | 200 |     214.571µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:24"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.128µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:25"
[GIN] 2025/07/28 - 09:17:41 | 200 |       14.09µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:27"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.054µs |       127.0.0.1 | PUT      "/internal/cache/perf:write:28"
[GIN] 2025/07/28 - 09:17:41 | 200 |     151.119µs |       127.0.0.1 | PUT      "/api/v1/cache/perf:write:30"
