2025/07/27 15:56:14 🚀 启动分布式缓存节点: node2
2025/07/27 15:56:14 📡 监听地址: :8002
2025/07/27 15:56:14 🌐 集群节点: map[node1:localhost:8001 node2:localhost:8002 node3:localhost:8003]
2025/07/27 15:56:14 🌐 启动集群管理器，节点ID: node2
2025/07/27 15:56:14 🚀 启动分布式缓存节点: node2
2025/07/27 15:56:14 📡 监听地址: localhost:8002
2025/07/27 15:56:14 🌐 集群节点数: 3
2025/07/27 15:56:16 ✅ 成功通知节点 localhost:8001 关于节点加入
2025/07/27 15:56:16 ⚠️ 通知节点加入失败 localhost:8003: Post "http://localhost:8003/internal/cluster/join": dial tcp 127.0.0.1:8003: connect: connection refused
2025/07/27 15:56:19 🔄 开始添加节点到集群: node3 (localhost:8003)
2025/07/27 15:56:19 ➕ 添加节点到集群: node3 (localhost:8003)
2025/07/27 15:56:19 🔄 开始网络数据迁移到节点: node3 (localhost:8003)
2025/07/27 15:56:19 ✅ 网络数据迁移完成: 迁移了 0 个key到节点 node3
2025/07/27 15:56:19 ⚠️ 跳过不健康的节点: node3
2025/07/27 15:56:19 ⚠️ 跳过不健康的节点: node1
2025/07/27 15:56:19 ✅ 节点添加完成: node3
[GIN] 2025/07/27 - 15:56:19 | 200 |     432.214µs |       127.0.0.1 | POST     "/internal/cluster/join"
[GIN] 2025/07/27 - 15:56:21 | 200 |      22.844µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/27 - 15:56:22 | 200 |      32.071µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/27 - 15:56:27 | 200 |      22.147µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/27 - 15:56:28 | 200 |      15.135µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/27 - 15:56:28 | 200 |     422.659µs |       127.0.0.1 | PUT      "/api/v1/cache/product:2001"
[GIN] 2025/07/27 - 15:56:28 | 200 |      24.879µs |       127.0.0.1 | PUT      "/internal/cache/order:3001"
[GIN] 2025/07/27 - 15:56:28 | 200 |      27.841µs |       127.0.0.1 | PUT      "/api/v1/cache/order:3002"
[GIN] 2025/07/27 - 15:56:28 | 200 |      16.384µs |       127.0.0.1 | PUT      "/internal/cache/session:abc"
[GIN] 2025/07/27 - 15:56:28 | 200 |       9.463µs |       127.0.0.1 | PUT      "/internal/cache/user:1001"
[GIN] 2025/07/27 - 15:56:28 | 200 |       9.399µs |       127.0.0.1 | PUT      "/api/v1/cache/user:1002"
[GIN] 2025/07/27 - 15:56:28 | 200 |     261.801µs |       127.0.0.1 | GET      "/api/v1/cache/product:2002"
[GIN] 2025/07/27 - 15:56:28 | 200 |      12.796µs |       127.0.0.1 | GET      "/internal/cache/order:3001"
[GIN] 2025/07/27 - 15:56:28 | 200 |      25.678µs |       127.0.0.1 | GET      "/internal/cache/order:3002"
[GIN] 2025/07/27 - 15:56:28 | 200 |        4.62µs |       127.0.0.1 | GET      "/api/v1/cache/session:abc"
[GIN] 2025/07/27 - 15:56:28 | 200 |       2.178µs |       127.0.0.1 | GET      "/internal/cache/user:1001"
[GIN] 2025/07/27 - 15:56:28 | 200 |       1.585µs |       127.0.0.1 | GET      "/internal/cache/user:1002"
[GIN] 2025/07/27 - 15:56:28 | 200 |       174.9µs |       127.0.0.1 | GET      "/api/v1/cache/user:1003"
[GIN] 2025/07/27 - 15:56:28 | 200 |        6.66µs |       127.0.0.1 | PUT      "/internal/cache/batch:1"
[GIN] 2025/07/27 - 15:56:28 | 200 |      76.037µs |       127.0.0.1 | PUT      "/api/v1/cache/batch:3"
[GIN] 2025/07/27 - 15:56:28 | 200 |       8.318µs |       127.0.0.1 | GET      "/internal/cache/batch:1"
[GIN] 2025/07/27 - 15:56:28 | 200 |     181.927µs |       127.0.0.1 | GET      "/api/v1/cache/batch:3"
[GIN] 2025/07/27 - 15:56:28 | 200 |      12.396µs |       127.0.0.1 | DELETE   "/internal/cache/user:1001"
[GIN] 2025/07/27 - 15:56:28 | 200 |       6.474µs |       127.0.0.1 | DELETE   "/api/v1/cache/batch:1"
[GIN] 2025/07/27 - 15:56:28 | 200 |       9.773µs |       127.0.0.1 | GET      "/internal/cache/user:1001"
