2025/07/28 09:17:29 🚀 启动分布式缓存节点: node3
2025/07/28 09:17:29 📡 监听地址: :8003
2025/07/28 09:17:29 🌐 集群节点: map[node1:localhost:8001 node2:localhost:8002 node3:localhost:8003]
2025/07/28 09:17:29 🌐 启动集群管理器，节点ID: node3
2025/07/28 09:17:29 🚀 启动分布式缓存节点: node3
2025/07/28 09:17:29 📡 监听地址: localhost:8003
2025/07/28 09:17:29 🌐 集群节点数: 3
2025/07/28 09:17:31 ✅ 成功通知节点 localhost:8001 关于节点加入
2025/07/28 09:17:31 ✅ 成功通知节点 localhost:8002 关于节点加入
[GIN] 2025/07/28 - 09:17:33 | 200 |      22.403µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/28 - 09:17:34 | 200 |      24.867µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:36 | 200 |      15.409µs |       127.0.0.1 | GET      "/internal/cluster/health"
[GIN] 2025/07/28 - 09:17:36 | 200 |      25.715µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:41 | 200 |        15.7µs |       127.0.0.1 | GET      "/api/v1/health"
[GIN] 2025/07/28 - 09:17:41 | 200 |     291.702µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:2"
[GIN] 2025/07/28 - 09:17:41 | 200 |      16.969µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |      22.829µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:4"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.091µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:5"
[GIN] 2025/07/28 - 09:17:41 | 200 |      12.112µs |       127.0.0.1 | PUT      "/internal/cache/lb:test:7"
[GIN] 2025/07/28 - 09:17:41 | 200 |     197.021µs |       127.0.0.1 | PUT      "/api/v1/cache/lb:test:8"
[GIN] 2025/07/28 - 09:17:41 | 200 |     144.507µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:1"
[GIN] 2025/07/28 - 09:17:41 | 200 |       9.283µs |       127.0.0.1 | GET      "/internal/cache/lb:test:3"
[GIN] 2025/07/28 - 09:17:41 | 200 |       5.172µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:4"
[GIN] 2025/07/28 - 09:17:41 | 200 |       6.757µs |       127.0.0.1 | GET      "/internal/cache/lb:test:5"
[GIN] 2025/07/28 - 09:17:41 | 200 |       5.337µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:7"
[GIN] 2025/07/28 - 09:17:41 | 200 |      74.924µs |       127.0.0.1 | GET      "/api/v1/cache/lb:test:10"
[GIN] 2025/07/28 - 09:17:41 | 200 |       6.589µs |       127.0.0.1 | DELETE   "/api/v1/cache/lb:test:3"
